alpha,beta,mach,Cl_q [1/rad]
0.03490658503988659,0.026179938779914945,0.3,-0.102
0.03490658503988659,0.03490658503988659,0.3,-0.0
-0.03490658503988659,-0.03490658503988659,0.4,-0.0
-0.03490658503988659,-0.026179938779914945,0.4,-0.0926
-0.03490658503988659,-0.017453292519943295,0.4,-0.2359
-0.03490658503988659,-0.008726646259971648,0.4,-0.2795
-0.03490658503988659,0.0,0.4,0.0
-0.03490658503988659,0.008726646259971648,0.4,0.2795
-0.03490658503988659,0.017453292519943295,0.4,0.2359
-0.03490658503988659,0.026179938779914945,0.4,0.0926
-0.03490658503988659,0.03490658503988659,0.4,-0.0
-0.026179938779914945,-0.03490658503988659,0.4,0.0926
-0.026179938779914945,-0.026179938779914945,0.4,-0.0
-0.026179938779914945,-0.017453292519943295,0.4,-0.1272
-0.026179938779914945,-0.008726646259971648,0.4,-0.2594
-0.026179938779914945,0.0,0.4,0.0
-0.026179938779914945,0.008726646259971648,0.4,0.2594
-0.026179938779914945,0.017453292519943295,0.4,0.1272
-0.026179938779914945,0.026179938779914945,0.4,-0.0
-0.026179938779914945,0.03490658503988659,0.4,-0.0925
-0.017453292519943295,-0.03490658503988659,0.4,0.2359
-0.017453292519943295,-0.026179938779914945,0.4,0.1272
-0.017453292519943295,-0.017453292519943295,0.4,-0.0
-0.017453292519943295,-0.008726646259971648,0.4,-0.1866
-0.017453292519943295,0.0,0.4,0.0
-0.017453292519943295,0.008726646259971648,0.4,0.1866
-0.017453292519943295,0.017453292519943295,0.4,-0.0
-0.017453292519943295,0.026179938779914945,0.4,-0.1272
-0.017453292519943295,0.03490658503988659,0.4,-0.2359
-0.008726646259971648,-0.03490658503988659,0.4,0.2795
-0.008726646259971648,-0.026179938779914945,0.4,0.2594
-0.008726646259971648,-0.017453292519943295,0.4,0.1866
-0.008726646259971648,-0.008726646259971648,0.4,-0.0
-0.008726646259971648,0.0,0.4,0.0
-0.008726646259971648,0.008726646259971648,0.4,-0.0
-0.008726646259971648,0.017453292519943295,0.4,-0.1866
-0.008726646259971648,0.026179938779914945,0.4,-0.2594
-0.008726646259971648,0.03490658503988659,0.4,-0.2795
0.0,-0.03490658503988659,0.4,0.0
0.0,-0.026179938779914945,0.4,0.0
0.0,-0.017453292519943295,0.4,0.0
0.0,-0.008726646259971648,0.4,0.0
0.0,0.0,0.4,0.0
0.0,0.008726646259971648,0.4,0.0
0.0,0.017453292519943295,0.4,0.0
0.0,0.026179938779914945,0.4,0.0
0.0,0.03490658503988659,0.4,-0.0
0.008726646259971648,-0.03490658503988659,0.4,-0.2795
0.008726646259971648,-0.026179938779914945,0.4,-0.2593
0.008726646259971648,-0.017453292519943295,0.4,-0.1866
0.008726646259971648,-0.008726646259971648,0.4,-0.0
0.008726646259971648,0.0,0.4,0.0
0.008726646259971648,0.008726646259971648,0.4,-0.0
0.008726646259971648,0.017453292519943295,0.4,0.1866
0.008726646259971648,0.026179938779914945,0.4,0.2594
0.008726646259971648,0.03490658503988659,0.4,0.2795
0.017453292519943295,-0.03490658503988659,0.4,-0.2359
0.017453292519943295,-0.026179938779914945,0.4,-0.1272
0.017453292519943295,-0.017453292519943295,0.4,-0.0
0.017453292519943295,-0.008726646259971648,0.4,0.1866
0.017453292519943295,0.0,0.4,0.0
0.017453292519943295,0.008726646259971648,0.4,-0.1866
0.017453292519943295,0.017453292519943295,0.4,-0.0
0.017453292519943295,0.026179938779914945,0.4,0.1272
0.017453292519943295,0.03490658503988659,0.4,0.2359
0.026179938779914945,-0.03490658503988659,0.4,-0.0926
0.026179938779914945,-0.026179938779914945,0.4,-0.0
0.026179938779914945,-0.017453292519943295,0.4,0.1272
0.026179938779914945,-0.008726646259971648,0.4,0.2594
0.026179938779914945,0.0,0.4,0.0
0.026179938779914945,0.008726646259971648,0.4,-0.2594
0.026179938779914945,0.017453292519943295,0.4,-0.1272
0.026179938779914945,0.026179938779914945,0.4,-0.0
0.026179938779914945,0.03490658503988659,0.4,0.0926
0.03490658503988659,-0.03490658503988659,0.4,-0.0
0.03490658503988659,-0.026179938779914945,0.4,0.0926
0.03490658503988659,-0.017453292519943295,0.4,0.2359
0.03490658503988659,-0.008726646259971648,0.4,0.2795
0.03490658503988659,0.0,0.4,0.0
0.03490658503988659,0.008726646259971648,0.4,-0.2795
0.03490658503988659,0.017453292519943295,0.4,-0.2359
0.03490658503988659,0.026179938779914945,0.4,-0.0925
0.03490658503988659,0.03490658503988659,0.4,-0.0
-0.03490658503988659,-0.03490658503988659,0.5,-0.0
-0.03490658503988659,-0.026179938779914945,0.5,-0.0862
-0.03490658503988659,-0.017453292519943295,0.5,-0.2175
-0.03490658503988659,-0.008726646259971648,0.5,-0.2484
-0.03490658503988659,0.0,0.5,0.0
