alpha,beta,mach,Cl_p [1/rad]
-0.008726646259971648,0.026179938779914945,0.3,-28.8947
-0.008726646259971648,0.03490658503988659,0.3,-29.3707
0.0,-0.03490658503988659,0.3,-29.3321
0.0,-0.026179938779914945,0.3,-28.8413
0.0,-0.017453292519943295,0.3,-28.4542
0.0,-0.008726646259971648,0.3,-28.1879
0.0,0.0,0.3,-28.0911
0.0,0.008726646259971648,0.3,-28.1879
0.0,0.017453292519943295,0.3,-28.4542
0.0,0.026179938779914945,0.3,-28.8413
0.0,0.03490658503988659,0.3,-29.3321
0.008726646259971648,-0.03490658503988659,0.3,-29.3707
0.008726646259971648,-0.026179938779914945,0.3,-28.8947
0.008726646259971648,-0.017453292519943295,0.3,-28.5155
0.008726646259971648,-0.008726646259971648,0.3,-28.273
0.008726646259971648,0.0,0.3,-28.1879
0.008726646259971648,0.008726646259971648,0.3,-28.273
0.008726646259971648,0.017453292519943295,0.3,-28.5152
0.008726646259971648,0.026179938779914945,0.3,-28.894
0.008726646259971648,0.03490658503988659,0.3,-29.3692
0.017453292519943295,-0.03490658503988659,0.3,-29.482
0.017453292519943295,-0.026179938779914945,0.3,-29.0465
0.017453292519943295,-0.017453292519943295,0.3,-28.7141
0.017453292519943295,-0.008726646259971648,0.3,-28.5152
0.017453292519943295,0.0,0.3,-28.4542
0.017453292519943295,0.008726646259971648,0.3,-28.5155
0.017453292519943295,0.017453292519943295,0.3,-28.7141
0.017453292519943295,0.026179938779914945,0.3,-29.0455
0.017453292519943295,0.03490658503988659,0.3,-29.4799
0.026179938779914945,-0.03490658503988659,0.3,-29.6614
0.026179938779914945,-0.026179938779914945,0.3,-29.3019
0.026179938779914945,-0.017453292519943295,0.3,-29.0455
0.026179938779914945,-0.008726646259971648,0.3,-28.894
0.026179938779914945,0.0,0.3,-28.8413
0.026179938779914945,0.008726646259971648,0.3,-28.8947
0.026179938779914945,0.017453292519943295,0.3,-29.0465
0.026179938779914945,0.026179938779914945,0.3,-29.3019
0.026179938779914945,0.03490658503988659,0.3,-29.6599
0.03490658503988659,-0.03490658503988659,0.3,-29.9084
0.03490658503988659,-0.026179938779914945,0.3,-29.6599
0.03490658503988659,-0.017453292519943295,0.3,-29.4799
0.03490658503988659,-0.008726646259971648,0.3,-29.3692
0.03490658503988659,0.0,0.3,-29.3321
0.03490658503988659,0.008726646259971648,0.3,-29.3707
0.03490658503988659,0.017453292519943295,0.3,-29.482
0.03490658503988659,0.026179938779914945,0.3,-29.6614
0.03490658503988659,0.03490658503988659,0.3,-29.9084
-0.03490658503988659,-0.03490658503988659,0.4,-30.3749
-0.03490658503988659,-0.026179938779914945,0.4,-30.1356
-0.03490658503988659,-0.017453292519943295,0.4,-29.9507
-0.03490658503988659,-0.008726646259971648,0.4,-29.8362
-0.03490658503988659,0.0,0.4,-29.7962
-0.03490658503988659,0.008726646259971648,0.4,-29.8346
-0.03490658503988659,0.017453292519943295,0.4,-29.9485
-0.03490658503988659,0.026179938779914945,0.4,-30.1342
-0.03490658503988659,0.03490658503988659,0.4,-30.3749
-0.026179938779914945,-0.03490658503988659,0.4,-30.1342
-0.026179938779914945,-0.026179938779914945,0.4,-29.769
-0.026179938779914945,-0.017453292519943295,0.4,-29.5079
-0.026179938779914945,-0.008726646259971648,0.4,-29.3514
-0.026179938779914945,0.0,0.4,-29.2965
-0.026179938779914945,0.008726646259971648,0.4,-29.3506
-0.026179938779914945,0.017453292519943295,0.4,-29.507
-0.026179938779914945,0.026179938779914945,0.4,-29.769
-0.026179938779914945,0.03490658503988659,0.4,-30.1356
-0.017453292519943295,-0.03490658503988659,0.4,-29.9485
-0.017453292519943295,-0.026179938779914945,0.4,-29.507
-0.017453292519943295,-0.017453292519943295,0.4,-29.1692
-0.017453292519943295,-0.008726646259971648,0.4,-28.9667
-0.017453292519943295,0.0,0.4,-28.9034
-0.017453292519943295,0.008726646259971648,0.4,-28.9664
-0.017453292519943295,0.017453292519943295,0.4,-29.1692
-0.017453292519943295,0.026179938779914945,0.4,-29.5079
-0.017453292519943295,0.03490658503988659,0.4,-29.9507
-0.008726646259971648,-0.03490658503988659,0.4,-29.8346
-0.008726646259971648,-0.026179938779914945,0.4,-29.3506
-0.008726646259971648,-0.017453292519943295,0.4,-28.9664
-0.008726646259971648,-0.008726646259971648,0.4,-28.7206
-0.008726646259971648,0.0,0.4,-28.6351
-0.008726646259971648,0.008726646259971648,0.4,-28.7206
-0.008726646259971648,0.017453292519943295,0.4,-28.9667
-0.008726646259971648,0.026179938779914945,0.4,-29.3514
-0.008726646259971648,0.03490658503988659,0.4,-29.8362
0.0,-0.03490658503988659,0.4,-29.7962
0.0,-0.026179938779914945,0.4,-29.2965
0.0,-0.017453292519943295,0.4,-28.9034
0.0,-0.008726646259971648,0.4,-28.6351
0.0,0.0,0.4,-28.5371
0.0,0.008726646259971648,0.4,-28.6351
0.0,0.017453292519943295,0.4,-28.9034
0.0,0.026179938779914945,0.4,-29.2965
0.0,0.03490658503988659,0.4,-29.7962
0.008726646259971648,-0.03490658503988659,0.4,-29.8362
0.008726646259971648,-0.026179938779914945,0.4,-29.3514
0.008726646259971648,-0.017453292519943295,0.4,-28.9667
0.008726646259971648,-0.008726646259971648,0.4,-28.7206
0.008726646259971648,0.0,0.4,-28.6351
0.008726646259971648,0.008726646259971648,0.4,-28.7206
0.008726646259971648,0.017453292519943295,0.4,-28.9664
0.008726646259971648,0.026179938779914945,0.4,-29.3506
0.008726646259971648,0.03490658503988659,0.4,-29.8346
0.017453292519943295,-0.03490658503988659,0.4,-29.9507
0.017453292519943295,-0.026179938779914945,0.4,-29.5079
0.017453292519943295,-0.017453292519943295,0.4,-29.1692
0.017453292519943295,-0.008726646259971648,0.4,-28.9664
0.017453292519943295,0.0,0.4,-28.9034
0.017453292519943295,0.008726646259971648,0.4,-28.9667
0.017453292519943295,0.017453292519943295,0.4,-29.1692
0.017453292519943295,0.026179938779914945,0.4,-29.507
0.017453292519943295,0.03490658503988659,0.4,-29.9485
0.026179938779914945,-0.03490658503988659,0.4,-30.1356
0.026179938779914945,-0.026179938779914945,0.4,-29.769
0.026179938779914945,-0.017453292519943295,0.4,-29.507
0.026179938779914945,-0.008726646259971648,0.4,-29.3506
0.026179938779914945,0.0,0.4,-29.2965
0.026179938779914945,0.008726646259971648,0.4,-29.3514
0.026179938779914945,0.017453292519943295,0.4,-29.5079
