alpha,beta,mach,Cnq [1/rad]
0.008726646259971648,0.017453292519943295,0.3,940.0823
0.008726646259971648,0.026179938779914945,0.3,1008.8588
0.008726646259971648,0.03490658503988659,0.3,1043.2405
0.017453292519943295,-0.03490658503988659,0.3,-944.8071
0.017453292519943295,-0.026179938779914945,0.3,-876.4177
0.017453292519943295,-0.017453292519943295,0.3,-762.6475
0.017453292519943295,-0.008726646259971648,0.3,-512.4982
0.017453292519943295,0.0,0.3,0.0001
0.017453292519943295,0.008726646259971648,0.3,512.4982
0.017453292519943295,0.017453292519943295,0.3,762.6476
0.017453292519943295,0.026179938779914945,0.3,876.4177
0.017453292519943295,0.03490658503988659,0.3,944.8071
0.026179938779914945,-0.03490658503988659,0.3,-842.5347
0.026179938779914945,-0.026179938779914945,0.3,-761.4669
0.026179938779914945,-0.017453292519943295,0.3,-622.8314
0.026179938779914945,-0.008726646259971648,0.3,-369.4939
0.026179938779914945,0.0,0.3,0.0001
0.026179938779914945,0.008726646259971648,0.3,369.494
0.026179938779914945,0.017453292519943295,0.3,622.8314
0.026179938779914945,0.026179938779914945,0.3,761.4671
0.026179938779914945,0.03490658503988659,0.3,842.5347
0.03490658503988659,-0.03490658503988659,0.3,-757.194
0.03490658503988659,-0.026179938779914945,0.3,-664.1299
0.03490658503988659,-0.017453292519943295,0.3,-510.7178
0.03490658503988659,-0.008726646259971648,0.3,-284.3537
0.03490658503988659,0.0,0.3,0.0
0.03490658503988659,0.008726646259971648,0.3,284.3537
0.03490658503988659,0.017453292519943295,0.3,510.7179
0.03490658503988659,0.026179938779914945,0.3,664.1298
0.03490658503988659,0.03490658503988659,0.3,757.1942
-0.03490658503988659,-0.03490658503988659,0.4,-754.8471
-0.03490658503988659,-0.026179938779914945,0.4,-661.6025
-0.03490658503988659,-0.017453292519943295,0.4,-508.4168
-0.03490658503988659,-0.008726646259971648,0.4,-282.8992
-0.03490658503988659,0.0,0.4,0.0
-0.03490658503988659,0.008726646259971648,0.4,282.8991
-0.03490658503988659,0.017453292519943295,0.4,508.4168
-0.03490658503988659,0.026179938779914945,0.4,661.6025
-0.03490658503988659,0.03490658503988659,0.4,754.8471
-0.026179938779914945,-0.03490658503988659,0.4,-841.5668
-0.026179938779914945,-0.026179938779914945,0.4,-760.0629
-0.026179938779914945,-0.017453292519943295,0.4,-621.1192
-0.026179938779914945,-0.008726646259971648,0.4,-368.3147
-0.026179938779914945,0.0,0.4,0.0001
-0.026179938779914945,0.008726646259971648,0.4,368.3147
-0.026179938779914945,0.017453292519943295,0.4,621.1193
-0.026179938779914945,0.026179938779914945,0.4,760.063
-0.026179938779914945,0.03490658503988659,0.4,841.5667
-0.017453292519943295,-0.03490658503988659,0.4,-945.6836
-0.017453292519943295,-0.026179938779914945,0.4,-876.8214
-0.017453292519943295,-0.017453292519943295,0.4,-762.2274
-0.017453292519943295,-0.008726646259971648,0.4,-511.6056
-0.017453292519943295,0.0,0.4,0.0
-0.017453292519943295,0.008726646259971648,0.4,511.6056
-0.017453292519943295,0.017453292519943295,0.4,762.2274
-0.017453292519943295,0.026179938779914945,0.4,876.8215
-0.017453292519943295,0.03490658503988659,0.4,945.6838
-0.008726646259971648,-0.03490658503988659,0.4,-1046.448
-0.008726646259971648,-0.026179938779914945,0.4,-1011.8486
-0.008726646259971648,-0.017453292519943295,0.4,-942.438
-0.008726646259971648,-0.008726646259971648,0.4,-761.0915
-0.008726646259971648,0.0,0.4,0.0001
-0.008726646259971648,0.008726646259971648,0.4,761.0916
-0.008726646259971648,0.017453292519943295,0.4,942.438
