alpha,beta,mach,Cl_r [1/rad]
0.026179938779914945,-0.008726646259971648,0.3,-0.1613
0.026179938779914945,0.0,0.3,0.1148
0.026179938779914945,0.008726646259971648,0.3,0.2272
0.026179938779914945,0.017453292519943295,0.3,0.0583
0.026179938779914945,0.026179938779914945,0.3,0.0
0.026179938779914945,0.03490658503988659,0.3,-0.0817
0.03490658503988659,-0.03490658503988659,0.3,0.0
0.03490658503988659,-0.026179938779914945,0.3,-0.0817
0.03490658503988659,-0.017453292519943295,0.3,-0.1673
0.03490658503988659,-0.008726646259971648,0.3,-0.0851
0.03490658503988659,0.0,0.3,0.1648
0.03490658503988659,0.008726646259971648,0.3,0.2619
0.03490658503988659,0.017453292519943295,0.3,0.1336
0.03490658503988659,0.026179938779914945,0.3,0.0427
0.03490658503988659,0.03490658503988659,0.3,0.0
-0.03490658503988659,-0.03490658503988659,0.4,0.0
-0.03490658503988659,-0.026179938779914945,0.4,0.0331
-0.03490658503988659,-0.017453292519943295,0.4,0.1136
-0.03490658503988659,-0.008726646259971648,0.4,0.2248
-0.03490658503988659,0.0,0.4,-0.1348
-0.03490658503988659,0.008726646259971648,0.4,-0.0704
-0.03490658503988659,0.017453292519943295,0.4,-0.1384
-0.03490658503988659,0.026179938779914945,0.4,-0.0705
-0.03490658503988659,0.03490658503988659,0.4,0.0
-0.026179938779914945,-0.03490658503988659,0.4,-0.0705
-0.026179938779914945,-0.026179938779914945,0.4,0.0
-0.026179938779914945,-0.017453292519943295,0.4,0.0453
-0.026179938779914945,-0.008726646259971648,0.4,0.1955
-0.026179938779914945,0.0,0.4,-0.0986
-0.026179938779914945,0.008726646259971648,0.4,-0.1359
-0.026179938779914945,0.017453292519943295,0.4,-0.0943
-0.026179938779914945,0.026179938779914945,0.4,0.0
-0.026179938779914945,0.03490658503988659,0.4,0.0331
-0.017453292519943295,-0.03490658503988659,0.4,-0.1384
-0.017453292519943295,-0.026179938779914945,0.4,-0.0942
-0.017453292519943295,-0.017453292519943295,0.4,0.0
-0.017453292519943295,-0.008726646259971648,0.4,0.1344
-0.017453292519943295,0.0,0.4,-0.0706
-0.017453292519943295,0.008726646259971648,0.4,-0.1491
-0.017453292519943295,0.017453292519943295,0.4,0.0
-0.017453292519943295,0.026179938779914945,0.4,0.0453
-0.017453292519943295,0.03490658503988659,0.4,0.1136
-0.008726646259971648,-0.03490658503988659,0.4,-0.0704
-0.008726646259971648,-0.026179938779914945,0.4,-0.1358
-0.008726646259971648,-0.017453292519943295,0.4,-0.1491
-0.008726646259971648,-0.008726646259971648,0.4,0.0
-0.008726646259971648,0.0,0.4,-0.0453
-0.008726646259971648,0.008726646259971648,0.4,0.0
-0.008726646259971648,0.017453292519943295,0.4,0.1344
-0.008726646259971648,0.026179938779914945,0.4,0.1955
-0.008726646259971648,0.03490658503988659,0.4,0.2248
0.0,-0.03490658503988659,0.4,0.1348
0.0,-0.026179938779914945,0.4,0.0986
0.0,-0.017453292519943295,0.4,0.0705
0.0,-0.008726646259971648,0.4,0.0453
0.0,0.0,0.4,-0.0
0.0,0.008726646259971648,0.4,0.0453
0.0,0.017453292519943295,0.4,0.0705
0.0,0.026179938779914945,0.4,0.0986
0.0,0.03490658503988659,0.4,0.1348
0.008726646259971648,-0.03490658503988659,0.4,0.2248
0.008726646259971648,-0.026179938779914945,0.4,0.1955
0.008726646259971648,-0.017453292519943295,0.4,0.1344
0.008726646259971648,-0.008726646259971648,0.4,0.0
0.008726646259971648,0.0,0.4,0.0453
0.008726646259971648,0.008726646259971648,0.4,0.0
0.008726646259971648,0.017453292519943295,0.4,-0.1491
0.008726646259971648,0.026179938779914945,0.4,-0.1359
0.008726646259971648,0.03490658503988659,0.4,-0.0704
0.017453292519943295,-0.03490658503988659,0.4,0.1136
0.017453292519943295,-0.026179938779914945,0.4,0.0453
0.017453292519943295,-0.017453292519943295,0.4,0.0
0.017453292519943295,-0.008726646259971648,0.4,-0.1491
0.017453292519943295,0.0,0.4,0.0705
0.017453292519943295,0.008726646259971648,0.4,0.1344
0.017453292519943295,0.017453292519943295,0.4,0.0
0.017453292519943295,0.026179938779914945,0.4,-0.0943
0.017453292519943295,0.03490658503988659,0.4,-0.1384
0.026179938779914945,-0.03490658503988659,0.4,0.0331
0.026179938779914945,-0.026179938779914945,0.4,0.0
0.026179938779914945,-0.017453292519943295,0.4,-0.0943
0.026179938779914945,-0.008726646259971648,0.4,-0.1359
0.026179938779914945,0.0,0.4,0.0986
0.026179938779914945,0.008726646259971648,0.4,0.1955
0.026179938779914945,0.017453292519943295,0.4,0.0453
0.026179938779914945,0.026179938779914945,0.4,0.0
0.026179938779914945,0.03490658503988659,0.4,-0.0705
0.03490658503988659,-0.03490658503988659,0.4,0.0
0.03490658503988659,-0.026179938779914945,0.4,-0.0705
0.03490658503988659,-0.017453292519943295,0.4,-0.1384
0.03490658503988659,-0.008726646259971648,0.4,-0.0704
0.03490658503988659,0.0,0.4,0.1348
0.03490658503988659,0.008726646259971648,0.4,0.2248
0.03490658503988659,0.017453292519943295,0.4,0.1136
0.03490658503988659,0.026179938779914945,0.4,0.0331
0.03490658503988659,0.03490658503988659,0.4,0.0
-0.03490658503988659,-0.03490658503988659,0.5,0.0
-0.03490658503988659,-0.026179938779914945,0.5,0.026
-0.03490658503988659,-0.017453292519943295,0.5,0.099
-0.03490658503988659,-0.008726646259971648,0.5,0.1955
-0.03490658503988659,0.0,0.5,-0.1161
-0.03490658503988659,0.008726646259971648,0.5,-0.0583
-0.03490658503988659,0.017453292519943295,0.5,-0.1159
-0.03490658503988659,0.026179938779914945,0.5,-0.0616
-0.03490658503988659,0.03490658503988659,0.5,0.0
-0.026179938779914945,-0.03490658503988659,0.5,-0.0616
-0.026179938779914945,-0.026179938779914945,0.5,0.0
-0.026179938779914945,-0.017453292519943295,0.5,0.0357
-0.026179938779914945,-0.008726646259971648,0.5,0.1705
-0.026179938779914945,0.0,0.5,-0.0867
-0.026179938779914945,0.008726646259971648,0.5,-0.118
-0.026179938779914945,0.017453292519943295,0.5,-0.0822
-0.026179938779914945,0.026179938779914945,0.5,0.0
-0.026179938779914945,0.03490658503988659,0.5,0.026
-0.017453292519943295,-0.03490658503988659,0.5,-0.1159
-0.017453292519943295,-0.026179938779914945,0.5,-0.0822
-0.017453292519943295,-0.017453292519943295,0.5,0.0
-0.017453292519943295,-0.008726646259971648,0.5,0.1202
-0.017453292519943295,0.0,0.5,-0.0571
-0.017453292519943295,0.008726646259971648,0.5,-0.129
-0.017453292519943295,0.017453292519943295,0.5,0.0
-0.017453292519943295,0.026179938779914945,0.5,0.0357
-0.017453292519943295,0.03490658503988659,0.5,0.099
-0.008726646259971648,-0.03490658503988659,0.5,-0.0583
-0.008726646259971648,-0.026179938779914945,0.5,-0.118
-0.008726646259971648,-0.017453292519943295,0.5,-0.129
-0.008726646259971648,-0.008726646259971648,0.5,0.0
-0.008726646259971648,0.0,0.5,-0.0282
-0.008726646259971648,0.008726646259971648,0.5,0.0
-0.008726646259971648,0.017453292519943295,0.5,0.1202
-0.008726646259971648,0.026179938779914945,0.5,0.1705
-0.008726646259971648,0.03490658503988659,0.5,0.1955
0.0,-0.03490658503988659,0.5,0.1161
0.0,-0.026179938779914945,0.5,0.0866
