alpha,beta,mach,Cnr [1/rad]
0.0,-0.026179938779914945,0.4,-89.4475
0.0,-0.017453292519943295,0.4,-77.7447
0.0,-0.008726646259971648,0.4,-65.1207
0.0,0.0,0.4,-1107.4752
0.0,0.008726646259971648,0.4,-38.7471
0.0,0.017453292519943295,0.4,-26.0024
0.0,0.026179938779914945,0.4,-14.1705
0.0,0.03490658503988659,0.4,-3.634
0.008726646259971648,-0.03490658503988659,0.4,-369.3632
0.008726646259971648,-0.026179938779914945,0.4,-441.7375
0.008726646259971648,-0.017453292519943295,0.4,-571.2862
0.008726646259971648,-0.008726646259971648,0.4,-808.3972
0.008726646259971648,0.0,0.4,-1106.7021
0.008726646259971648,0.008726646259971648,0.4,-808.3972
0.008726646259971648,0.017453292519943295,0.4,-543.7286
0.008726646259971648,0.026179938779914945,0.4,-388.4288
0.008726646259971648,0.03490658503988659,0.4,-291.7014
0.017453292519943295,-0.03490658503988659,0.4,-575.5734
0.017453292519943295,-0.026179938779914945,0.4,-673.7259
0.017453292519943295,-0.017453292519943295,0.4,-807.2194
0.017453292519943295,-0.008726646259971648,0.4,-990.5334
0.017453292519943295,0.0,0.4,-1105.2681
0.017453292519943295,0.008726646259971648,0.4,-976.6605
0.017453292519943295,0.017453292519943295,0.4,-807.2193
0.017453292519943295,0.026179938779914945,0.4,-651.0876
0.017453292519943295,0.03490658503988659,0.4,-527.2375
0.026179938779914945,-0.03490658503988659,0.4,-708.9143
0.026179938779914945,-0.026179938779914945,0.4,-805.7816
0.026179938779914945,-0.017453292519943295,0.4,-927.6378
0.026179938779914945,-0.008726646259971648,0.4,-1052.5955
0.026179938779914945,0.0,0.4,-1103.3469
0.026179938779914945,0.008726646259971648,0.4,-1031.9655
0.026179938779914945,0.017453292519943295,0.4,-917.1787
0.026179938779914945,0.026179938779914945,0.4,-805.7816
0.026179938779914945,0.03490658503988659,0.4,-693.41
0.03490658503988659,-0.03490658503988659,0.4,-804.1696
0.03490658503988659,-0.026179938779914945,0.4,-895.8766
0.03490658503988659,-0.017453292519943295,0.4,-994.7985
0.03490658503988659,-0.008726646259971648,0.4,-1077.1257
0.03490658503988659,0.0,0.4,-1100.9727
0.03490658503988659,0.008726646259971648,0.4,-1054.494
0.03490658503988659,0.017453292519943295,0.4,-973.6689
0.03490658503988659,0.026179938779914945,0.4,-892.1972
0.03490658503988659,0.03490658503988659,0.4,-804.1697
-0.03490658503988659,-0.03490658503988659,0.5,696.9905
-0.03490658503988659,-0.026179938779914945,0.5,785.4188
-0.03490658503988659,-0.017453292519943295,0.5,868.0671
-0.03490658503988659,-0.008726646259971648,0.5,950.6477
-0.03490658503988659,0.0,0.5,-1113.1812
-0.03490658503988659,0.008726646259971648,0.5,975.4293
-0.03490658503988659,0.017453292519943295,0.5,890.9271
-0.03490658503988659,0.026179938779914945,0.5,790.1846
-0.03490658503988659,0.03490658503988659,0.5,696.9907
-0.026179938779914945,-0.03490658503988659,0.5,586.0101
-0.026179938779914945,-0.026179938779914945,0.5,698.4193
-0.026179938779914945,-0.017453292519943295,0.5,810.8163
-0.026179938779914945,-0.008726646259971648,0.5,927.7567
-0.026179938779914945,0.0,0.5,-1115.9373
-0.026179938779914945,0.008726646259971648,0.5,949.819
-0.026179938779914945,0.017453292519943295,0.5,822.274
-0.026179938779914945,0.026179938779914945,0.5,698.4193
-0.026179938779914945,0.03490658503988659,0.5,600.1946
-0.017453292519943295,-0.03490658503988659,0.5,419.764
-0.017453292519943295,-0.026179938779914945,0.5,543.2471
-0.017453292519943295,-0.017453292519943295,0.5,699.6772
-0.017453292519943295,-0.008726646259971648,0.5,871.4388
-0.017453292519943295,0.0,0.5,-1118.1937
-0.017453292519943295,0.008726646259971648,0.5,886.1749
-0.017453292519943295,0.017453292519943295,0.5,699.6773
-0.017453292519943295,0.026179938779914945,0.5,564.5171
-0.017453292519943295,0.03490658503988659,0.5,465.5132
