alpha,beta,mach,Cn0 [-]
0.008726646259971648,0.017453292519943295,0.3,1.0918
0.008726646259971648,0.026179938779914945,0.3,1.6454
0.008726646259971648,0.03490658503988659,0.3,2.2092
0.017453292519943295,-0.03490658503988659,0.3,-2.2316
0.017453292519943295,-0.026179938779914945,0.3,-1.664
0.017453292519943295,-0.017453292519943295,0.3,-1.1042
0.017453292519943295,-0.008726646259971648,0.3,-0.5506
0.017453292519943295,0.0,0.3,0.0
0.017453292519943295,0.008726646259971648,0.3,0.5506
0.017453292519943295,0.017453292519943295,0.3,1.1042
0.017453292519943295,0.026179938779914945,0.3,1.664
0.017453292519943295,0.03490658503988659,0.3,2.2316
0.026179938779914945,-0.03490658503988659,0.3,-2.2652
0.026179938779914945,-0.026179938779914945,0.3,-1.6927
0.026179938779914945,-0.017453292519943295,0.3,-1.1249
0.026179938779914945,-0.008726646259971648,0.3,-0.561
0.026179938779914945,0.0,0.3,0.0
0.026179938779914945,0.008726646259971648,0.3,0.561
0.026179938779914945,0.017453292519943295,0.3,1.1249
0.026179938779914945,0.026179938779914945,0.3,1.6927
0.026179938779914945,0.03490658503988659,0.3,2.2652
0.03490658503988659,-0.03490658503988659,0.3,-2.3069
0.03490658503988659,-0.026179938779914945,0.3,-1.7283
0.03490658503988659,-0.017453292519943295,0.3,-1.1513
0.03490658503988659,-0.008726646259971648,0.3,-0.5754
0.03490658503988659,0.0,0.3,0.0
0.03490658503988659,0.008726646259971648,0.3,0.5754
0.03490658503988659,0.017453292519943295,0.3,1.1513
0.03490658503988659,0.026179938779914945,0.3,1.7283
0.03490658503988659,0.03490658503988659,0.3,2.3069
-0.03490658503988659,-0.03490658503988659,0.4,-2.3322
-0.03490658503988659,-0.026179938779914945,0.4,-1.7473
-0.03490658503988659,-0.017453292519943295,0.4,-1.1641
-0.03490658503988659,-0.008726646259971648,0.4,-0.5818
-0.03490658503988659,0.0,0.4,-0.0
-0.03490658503988659,0.008726646259971648,0.4,0.5818
-0.03490658503988659,0.017453292519943295,0.4,1.1641
-0.03490658503988659,0.026179938779914945,0.4,1.7473
-0.03490658503988659,0.03490658503988659,0.4,2.3322
-0.026179938779914945,-0.03490658503988659,0.4,-2.2909
-0.026179938779914945,-0.026179938779914945,0.4,-1.712
-0.026179938779914945,-0.017453292519943295,0.4,-1.1378
-0.026179938779914945,-0.008726646259971648,0.4,-0.5675
-0.026179938779914945,0.0,0.4,-0.0
-0.026179938779914945,0.008726646259971648,0.4,0.5675
-0.026179938779914945,0.017453292519943295,0.4,1.1378
-0.026179938779914945,0.026179938779914945,0.4,1.712
-0.026179938779914945,0.03490658503988659,0.4,2.2909
-0.017453292519943295,-0.03490658503988659,0.4,-2.2576
-0.017453292519943295,-0.026179938779914945,0.4,-1.6837
-0.017453292519943295,-0.017453292519943295,0.4,-1.1174
-0.017453292519943295,-0.008726646259971648,0.4,-0.5572
-0.017453292519943295,0.0,0.4,-0.0
-0.017453292519943295,0.008726646259971648,0.4,0.5572
-0.017453292519943295,0.017453292519943295,0.4,1.1174
-0.017453292519943295,0.026179938779914945,0.4,1.6837
-0.017453292519943295,0.03490658503988659,0.4,2.2576
-0.008726646259971648,-0.03490658503988659,0.4,-2.2354
-0.008726646259971648,-0.026179938779914945,0.4,-1.6652
-0.008726646259971648,-0.017453292519943295,0.4,-1.1051
-0.008726646259971648,-0.008726646259971648,0.4,-0.5513
-0.008726646259971648,0.0,0.4,-0.0
-0.008726646259971648,0.008726646259971648,0.4,0.5513
-0.008726646259971648,0.017453292519943295,0.4,1.1051
-0.008726646259971648,0.026179938779914945,0.4,1.6652
-0.008726646259971648,0.03490658503988659,0.4,2.2354
0.0,-0.03490658503988659,0.4,-2.2273
0.0,-0.026179938779914945,0.4,-1.6589
0.0,-0.017453292519943295,0.4,-1.101
0.0,-0.008726646259971648,0.4,-0.5494
0.0,0.0,0.4,-0.0
0.0,0.008726646259971648,0.4,0.5494
0.0,0.017453292519943295,0.4,1.101
0.0,0.026179938779914945,0.4,1.6589
0.0,0.03490658503988659,0.4,2.2273
0.008726646259971648,-0.03490658503988659,0.4,-2.2354
0.008726646259971648,-0.026179938779914945,0.4,-1.6652
0.008726646259971648,-0.017453292519943295,0.4,-1.1051
0.008726646259971648,-0.008726646259971648,0.4,-0.5513
0.008726646259971648,0.0,0.4,0.0
0.008726646259971648,0.008726646259971648,0.4,0.5513
0.008726646259971648,0.017453292519943295,0.4,1.1051
0.008726646259971648,0.026179938779914945,0.4,1.6652
0.008726646259971648,0.03490658503988659,0.4,2.2354
0.017453292519943295,-0.03490658503988659,0.4,-2.2576
0.017453292519943295,-0.026179938779914945,0.4,-1.6837
0.017453292519943295,-0.017453292519943295,0.4,-1.1174
0.017453292519943295,-0.008726646259971648,0.4,-0.5572
0.017453292519943295,0.0,0.4,0.0
0.017453292519943295,0.008726646259971648,0.4,0.5572
0.017453292519943295,0.017453292519943295,0.4,1.1174
0.017453292519943295,0.026179938779914945,0.4,1.6837
0.017453292519943295,0.03490658503988659,0.4,2.2576
0.026179938779914945,-0.03490658503988659,0.4,-2.2909
0.026179938779914945,-0.026179938779914945,0.4,-1.712
0.026179938779914945,-0.017453292519943295,0.4,-1.1378
0.026179938779914945,-0.008726646259971648,0.4,-0.5675
0.026179938779914945,0.0,0.4,0.0
0.026179938779914945,0.008726646259971648,0.4,0.5675
0.026179938779914945,0.017453292519943295,0.4,1.1378
0.026179938779914945,0.026179938779914945,0.4,1.712
0.026179938779914945,0.03490658503988659,0.4,2.2909
0.03490658503988659,-0.03490658503988659,0.4,-2.3322
0.03490658503988659,-0.026179938779914945,0.4,-1.7473
0.03490658503988659,-0.017453292519943295,0.4,-1.1641
0.03490658503988659,-0.008726646259971648,0.4,-0.5818
0.03490658503988659,0.0,0.4,0.0
0.03490658503988659,0.008726646259971648,0.4,0.5818
0.03490658503988659,0.017453292519943295,0.4,1.1641
0.03490658503988659,0.026179938779914945,0.4,1.7473
0.03490658503988659,0.03490658503988659,0.4,2.3322
-0.03490658503988659,-0.03490658503988659,0.5,-2.3665
-0.03490658503988659,-0.026179938779914945,0.5,-1.7731
-0.03490658503988659,-0.017453292519943295,0.5,-1.1813
-0.03490658503988659,-0.008726646259971648,0.5,-0.5904
-0.03490658503988659,0.0,0.5,-0.0
-0.03490658503988659,0.008726646259971648,0.5,0.5904
-0.03490658503988659,0.017453292519943295,0.5,1.1813
-0.03490658503988659,0.026179938779914945,0.5,1.7731
-0.03490658503988659,0.03490658503988659,0.5,2.3665
-0.026179938779914945,-0.03490658503988659,0.5,-2.3256
-0.026179938779914945,-0.026179938779914945,0.5,-1.7382
-0.026179938779914945,-0.017453292519943295,0.5,-1.1554
-0.026179938779914945,-0.008726646259971648,0.5,-0.5763
-0.026179938779914945,0.0,0.5,-0.0
-0.026179938779914945,0.008726646259971648,0.5,0.5763
-0.026179938779914945,0.017453292519943295,0.5,1.1554
-0.026179938779914945,0.026179938779914945,0.5,1.7382
-0.026179938779914945,0.03490658503988659,0.5,2.3256
-0.017453292519943295,-0.03490658503988659,0.5,-2.2927
-0.017453292519943295,-0.026179938779914945,0.5,-1.7102
-0.017453292519943295,-0.017453292519943295,0.5,-1.1352
-0.017453292519943295,-0.008726646259971648,0.5,-0.5662
-0.017453292519943295,0.0,0.5,-0.0
-0.017453292519943295,0.008726646259971648,0.5,0.5662
-0.017453292519943295,0.017453292519943295,0.5,1.1352
-0.017453292519943295,0.026179938779914945,0.5,1.7102
-0.017453292519943295,0.03490658503988659,0.5,2.2927
-0.008726646259971648,-0.03490658503988659,0.5,-2.2708
-0.008726646259971648,-0.026179938779914945,0.5,-1.6919
-0.008726646259971648,-0.017453292519943295,0.5,-1.123
-0.008726646259971648,-0.008726646259971648,0.5,-0.5603
-0.008726646259971648,0.0,0.5,-0.0
-0.008726646259971648,0.008726646259971648,0.5,0.5603
-0.008726646259971648,0.017453292519943295,0.5,1.123
