alpha,beta,mach,Cmr [1/rad]
0.008726646259971648,-0.017453292519943295,0.1,918.5983
0.008726646259971648,-0.008726646259971648,0.1,753.7101
0.008726646259971648,0.0,0.1,-14.5062
0.008726646259971648,0.008726646259971648,0.1,-753.7102
0.008726646259971648,0.017453292519943295,0.1,-931.584
0.008726646259971648,0.026179938779914945,0.1,-992.7528
0.008726646259971648,0.03490658503988659,0.1,-1015.9807
0.017453292519943295,-0.03490658503988659,0.1,916.3469
0.017453292519943295,-0.026179938779914945,0.1,860.8972
0.017453292519943295,-0.017453292519943295,0.1,752.5422
0.017453292519943295,-0.008726646259971648,0.1,490.5536
0.017453292519943295,0.0,0.1,-28.2744
0.017453292519943295,0.008726646259971648,0.1,-519.621
0.017453292519943295,0.017453292519943295,0.1,-752.5422
0.017453292519943295,0.026179938779914945,0.1,-870.0756
0.017453292519943295,0.03490658503988659,0.1,-935.873
0.026179938779914945,-0.03490658503988659,0.1,836.7365
0.026179938779914945,-0.026179938779914945,0.1,751.1068
0.026179938779914945,-0.017453292519943295,0.1,597.1283
0.026179938779914945,-0.008726646259971648,0.1,335.9901
0.026179938779914945,0.0,0.1,-40.8252
0.026179938779914945,0.008726646259971648,0.1,-391.1617
0.026179938779914945,0.017453292519943295,0.1,-621.5708
0.026179938779914945,0.026179938779914945,0.1,-751.1069
0.026179938779914945,0.03490658503988659,0.1,-838.983
0.03490658503988659,-0.03490658503988659,0.1,749.4886
0.03490658503988659,-0.026179938779914945,0.1,639.0704
0.03490658503988659,-0.017453292519943295,0.1,473.638
0.03490658503988659,-0.008726646259971648,0.1,239.1633
0.03490658503988659,0.0,0.1,-51.7737
0.03490658503988659,0.008726646259971648,0.1,-319.6109
0.03490658503988659,0.017453292519943295,0.1,-524.8167
0.03490658503988659,0.026179938779914945,0.1,-656.34
0.03490658503988659,0.03490658503988659,0.1,-749.4887
-0.03490658503988659,-0.03490658503988659,0.2,749.9117
-0.03490658503988659,-0.026179938779914945,0.2,656.4043
-0.03490658503988659,-0.017453292519943295,0.2,524.5842
-0.03490658503988659,-0.008726646259971648,0.2,319.2325
-0.03490658503988659,0.0,0.2,51.0409
-0.03490658503988659,0.008726646259971648,0.2,-239.1827
-0.03490658503988659,0.017453292519943295,0.2,-473.8806
-0.03490658503988659,0.026179938779914945,0.2,-639.453
-0.03490658503988659,0.03490658503988659,0.2,-749.9118
-0.026179938779914945,-0.03490658503988659,0.2,839.7712
-0.026179938779914945,-0.026179938779914945,0.2,751.5169
-0.026179938779914945,-0.017453292519943295,0.2,621.5565
-0.026179938779914945,-0.008726646259971648,0.2,390.9091
-0.026179938779914945,0.0,0.2,40.1709
-0.026179938779914945,0.008726646259971648,0.2,-335.988
-0.026179938779914945,0.017453292519943295,0.2,-597.4386
-0.026179938779914945,0.026179938779914945,0.2,-751.5169
-0.026179938779914945,0.03490658503988659,0.2,-837.2687
-0.017453292519943295,-0.03490658503988659,0.2,936.9518
-0.017453292519943295,-0.026179938779914945,0.2,870.9644
-0.017453292519943295,-0.017453292519943295,0.2,752.9407
-0.017453292519943295,-0.008726646259971648,0.2,519.5296
-0.017453292519943295,0.0,0.2,27.7725
-0.017453292519943295,0.008726646259971648,0.2,-490.7198
