alpha,beta,mach,CQr [1/rad]
-0.008726646259971648,0.017453292519943295,0.4,-69.5719652030749
-0.008726646259971648,0.026179938779914945,0.4,-44.42227938576147
-0.008726646259971648,0.03490658503988659,0.4,-29.349788795406113
0.0,-0.03490658503988659,0.4,29.56038163790162
0.0,-0.026179938779914945,0.4,27.28834575998527
0.0,-0.017453292519943295,0.4,24.58195547880649
0.0,-0.008726646259971648,0.4,21.795470063683595
0.0,0.0,0.4,208.5223
0.0,0.008726646259971648,0.4,19.08927311129503
0.0,0.017453292519943295,0.4,18.60736557639947
0.0,0.026179938779914945,0.4,18.530347935874413
0.0,0.03490658503988659,0.4,18.82092781075442
0.008726646259971648,-0.03490658503988659,0.4,77.73119818314485
0.008726646259971648,-0.026179938779914945,0.4,90.24097308162115
0.008726646259971648,-0.017453292519943295,0.4,112.76128625828085
0.008726646259971648,-0.008726646259971648,0.4,154.58130514181678
0.008726646259971648,0.0,0.4,208.3844
0.008726646259971648,0.008726646259971648,0.4,156.58632879375273
0.008726646259971648,0.017453292519943295,0.4,111.10681576551912
0.008726646259971648,0.026179938779914945,0.4,85.40697230029345
0.008726646259971648,0.03490658503988659,0.4,70.30685567136545
0.017453292519943295,-0.03490658503988659,0.4,114.59281092795001
0.017453292519943295,-0.026179938779914945,0.4,131.70069864204024
0.017453292519943295,-0.017453292519943295,0.4,154.9187078451386
0.017453292519943295,-0.008726646259971648,0.4,187.12065721051536
0.017453292519943295,0.0,0.4,208.1286
0.017453292519943295,0.008726646259971648,0.4,186.64832497767893
0.017453292519943295,0.017453292519943295,0.4,158.18611012814017
0.017453292519943295,0.026179938779914945,0.4,132.3438320989469
0.017453292519943295,0.03490658503988659,0.4,112.40514484282943
0.026179938779914945,-0.03490658503988659,0.4,138.43595441387822
0.026179938779914945,-0.026179938779914945,0.4,155.30548977761964
0.026179938779914945,-0.017453292519943295,0.4,176.4355405306382
0.026179938779914945,-0.008726646259971648,0.4,198.2080899160039
0.026179938779914945,0.0,0.4,207.786
0.026179938779914945,0.008726646259971648,0.4,196.53002932000172
0.026179938779914945,0.017453292519943295,0.4,177.83657494532238
0.026179938779914945,0.026179938779914945,0.4,159.9905837625826
0.026179938779914945,0.03490658503988659,0.4,142.10811682733842
0.03490658503988659,-0.03490658503988659,0.4,155.46925043785555
0.03490658503988659,-0.026179938779914945,0.4,171.40770000006893
0.03490658503988659,-0.017453292519943295,0.4,188.43484155703692
0.03490658503988659,-0.008726646259971648,0.4,202.5899412949541
0.03490658503988659,0.0,0.4,207.3625
0.03490658503988659,0.008726646259971648,0.4,200.55644417746566
0.03490658503988659,0.017453292519943295,0.4,187.93337809175847
0.03490658503988659,0.026179938779914945,0.4,175.43824951888632
0.03490658503988659,0.03490658503988659,0.4,161.90902510991847
-0.03490658503988659,-0.03490658503988659,0.5,-113.85021906416306
-0.03490658503988659,-0.026179938779914945,0.5,-130.04744908078965
-0.03490658503988659,-0.017453292519943295,0.5,-145.41642742036873
-0.03490658503988659,-0.008726646259971648,0.5,-160.6895584794033
-0.03490658503988659,0.0,0.5,208.728
-0.03490658503988659,0.008726646259971648,0.5,-163.10351943125147
-0.03490658503988659,0.017453292519943295,0.5,-146.21422462509895
-0.03490658503988659,0.026179938779914945,0.5,-126.18315678265873
-0.03490658503988659,0.03490658503988659,0.5,-107.36327314506481
